city,zone,zone_type,locality
Chittoor,Chittoor,ZONE,Periyambadi
Aurangabad (BH),Aurangabad (BH),ZONE,Belsara
Lucknow,Ashiyana,ZONE,Hasanpur Keoli
Nashik,Gangapur Road,ZONE,Matoshree Nagar
Chittoor,Chittoor,ZONE,Bhakarapet
Guntur,Guntur,ZONE,Kandrika
Salem,Salem,ZONE,Kannapadi
Makati,Makati Region,ZONE,Dasmariñas
Taguig,Taguig Region,ZONE,Dela Paz
Chittoor,Chittoor,ZONE,Keenatipalle
Chittoor,Chittoor,ZONE,Sompalle
Chittoor,Chittoor,ZONE,Bandapalle
Panchkula,Panchkula,ZONE,Industrial Estate
Jakarta,Cilandak/Pasar Minggu,ZONE,Cilandak
Kanpur,Kidwai Nagar,ZONE,Munshipurwa
Tangerang,Tangerang,ZONE,Kemuning
Hooghly,Hooghly,ZONE,Prabasnagar
Puducherry,Puducherry,ZONE,Bharathidasan Nagar
Makati,Makati Region,ZONE,Tejeros
North 24 Parganas,North 24 Parganas,ZONE,Gaighata
Ranchi,Ranchi,ZONE,Sarwada
Delhi,Punjabi bagh,ZONE,Paschim Vihar
Ahmedabad,Paldi,ZONE,Chandranagar
Surat,Katragam,ZONE,Amroli
Chandigarh,Sector 36,ZONE,Sector-17
São Paulo,Itaquera,ZONE,Vila Conceição
Gurgaon,Manesar,ZONE,Sherpur
Lucknow,Ashiyana,ZONE,Chander Nagar
Thiruvananthapuram,Thiruvananthapuram,ZONE,Pattom Palace
Kozhikode,Kozhikode,ZONE,Mannankavu
Thrissur,Thrissur,ZONE,Chavakkad
Nellore,Nellore,ZONE,Tikkavaram
Tiruchirappalli,Tiruchirappalli,ZONE,Puthanampatti
Bangalore,shivajinagar + MG Road,ZONE,Shivaji Nagar
Bangalore,Jayanagar,ZONE,Jayanagar 1 Block
Chittoor,Chittoor,ZONE,Veligallu
Allahabad,Allahabad,ZONE,Andhiyaari
Chittoor,Chittoor,ZONE,Govindapalem
Nellore,Nellore,ZONE,Thummur
Salem,Salem,ZONE,Rakkipatti
Salem,Salem,ZONE,Chendrayampalayam
Visakhapatnam,Gajuwaka,ZONE,Sujata Nagar
Warangal,Warangal,ZONE,Gangaram
Warangal,Warangal,ZONE,Jamandlapalli
Bangalore,Koramangala,ZONE,Koramangala
Warangal,Warangal,ZONE,M.G.M Hospital
Kozhikode,Kozhikode,ZONE,Kolathara
Tawang,Lhou,ZONE,Lumla
Allahabad,Allahabad,ZONE,Ahmedpur Asrauli
Chittoor,Chittoor,ZONE,Beerangi
Allahabad,Allahabad,ZONE,Deewanganj
Indore,Old Indore,ZONE,Indore Ram Bagh
Warangal,Warangal,ZONE,Akkampet
